,schoolcode,year,charter,elapass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
223,211003040002,2019,0.0,85,0.0,0.0,0.0,71,60.56338028169014,95.77464788732394,2.8169014084507045,1.4084507042253522,0.0
224,211103040001,2019,0.0,95,0.0,0.0,0.0,40,40.0,92.5,0.0,5.0,0.0
225,211701040001,2019,0.0,91,0.0,0.0,0.0,22,72.72727272727273,100.0,0.0,0.0,0.0
226,211901020001,2019,0.0,100,0.0,0.0,0.0,25,44.0,96.0,4.0,0.0,0.0
227,212001040003,2019,0.0,82,0.0,0.0,0.0,98,55.10204081632652,90.81632653061224,1.0204081632653061,8.16326530612245,0.0
228,212101040005,2019,0.0,87,0.0,0.0,0.0,166,48.795180722891565,91.56626506024097,3.614457831325301,0.6024096385542169,1.8072289156626504
229,220101040002,2019,0.0,87,0.0,0.0,0.0,136,50.73529411764706,90.44117647058823,2.2058823529411766,3.6764705882352944,1.4705882352941175
230,220202040002,2019,0.0,100,0.0,0.0,0.0,36,41.66666666666667,97.22222222222221,0.0,2.7777777777777777,0.0
231,220301060007,2019,0.0,93,0.0,0.0,0.0,229,52.40174672489083,71.61572052401746,7.423580786026202,12.22707423580786,2.1834061135371177
232,220401040004,2019,0.0,88,0.0,0.0,0.0,117,29.914529914529915,94.01709401709401,1.7094017094017095,2.564102564102564,0.0
233,220701040003,2019,0.0,92,0.0,0.0,0.0,78,46.15384615384615,89.74358974358975,1.282051282051282,2.564102564102564,0.0
234,220909040010,2019,0.0,85,0.0,0.0,0.0,34,47.05882352941176,97.05882352941177,2.941176470588235,0.0,0.0
235,221001040001,2019,0.0,88,0.0,0.0,0.0,40,35.0,97.5,0.0,0.0,0.0
236,221301040001,2019,0.0,96,0.0,0.0,0.0,28,46.42857142857143,92.85714285714286,0.0,3.571428571428571,0.0
237,221401040001,2019,0.0,94,0.0,0.0,0.0,49,40.816326530612244,93.87755102040816,0.0,0.0,0.0
238,222000010016,2019,0.0,93,0.0,0.0,0.0,259,61.77606177606177,68.72586872586872,6.563706563706563,11.196911196911197,3.088803088803089
239,222201060001,2019,0.0,87,0.0,0.0,0.0,246,47.96747967479675,71.54471544715447,6.504065040650407,10.975609756097562,0.40650406504065045
